Species,Population,Latitude,Longitude,Year_start,Year_end,Temperature,Vial,Replicate,Sex,Thorax_length,l2,l3p,l3d,lpd,l3,w1,w2,w3,wing_loading,Wing_area,Wing_shape,Wing_vein,Asymmetry_wing_area,Asymmetry_wing_shape,Asymmetry_wing_vein,Asymmetry_l2,Asymmetry_l3p,Asymmetry_l3d,Asymmetry_lpd,Asymmetry_l3,Asymmetry_w1,Asymmetry_w2,Asymmetry_w3
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,2,2,female,1.176,1.872,0.63,1.579,2.207,2.207,0.966,1.345,1.103,1.876,1.066,2.283,2.508,0.02,0.075,0.028,0.024,0.009,0.005,0.014,0.015,0.025,0.034,0.012
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,2,2,male,1.064,1.747,0.601,1.465,2.066,2.066,0.974,1.293,1.106,1.941,1.006,2.121,2.435,0.033,0.026,0.096,0.011,0.011,0.031,0.02,0.021,0.022,0.038,0.018
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,2,3,female,1.147,1.831,0.595,1.566,2.161,2.16,0.996,1.359,1.106,1.883,1.076,2.168,2.63,0.052,0.029,0.073,0.034,0.023,0.017,0.039,0.038,0.031,0.036,0.023
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,2,3,male,1.102,1.753,0.593,1.466,2.06,2.059,0.924,1.262,1.055,1.869,0.951,2.229,2.47,0.039,0.101,0.104,0.003,0.019,0.015,0.004,0.004,0.04,0.046,0.014
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,3,1,female,1.191,1.83,0.611,1.572,2.182,2.181,1.009,1.33,1.187,1.831,1.093,2.2320023364485984,2.576,0.020591397849462366,0.03803438055720214,0.102,0.021689349112426037,0.025,0.002,0.028,0.029,0.014955794504181602,0.018,0.017089445438282648
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,3,1,male,1.144,1.775,0.614,1.5,2.114,2.113,0.942,1.263,1.086,1.847,0.996,2.242,2.444,0.026,0.053,0.106,0.041,0.034,0.018,0.053,0.052,0.001,0.018,0.029
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,3,2,female,1.156,1.923,0.69,1.577,2.266,2.265,1.007,1.38,1.14,1.959,1.14,2.249,2.287,0.007,0.014,0.015,0.024,0.007,0.006,0.013,0.014,0.014955794504181602,0.003,0.013
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,3,2,male,1.124,1.775,0.6,1.538,2.138,2.137,0.99,1.331,1.096,1.901,1.057,2.16,2.566,0.006,0.061,0.23,0.012,0.032,0.056,0.024,0.024,0.017,0.043,0.044
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,3,3,female,1.191,1.824,0.599,1.61,2.209,2.207,1.015,1.359,1.135,1.854,1.119,2.176,2.685,0.002,0.078,0.02,0.041,0.007,0.031,0.038,0.038,0.019,0.01,0.012
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,3,3,male,1.148,1.822,0.619,1.567,2.185,2.184,0.986,1.342,1.104,1.903,1.077,2.216,2.531,0.034,0.082,0.065,0.005,0.01,0.015,0.006,0.006,0.034,0.03,0.031
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,4,1,female,1.215,1.919,0.655,1.672,2.327,2.327,1.016,1.384,1.145,1.916,1.182,2.29,2.553,0.025,0.005,0.012,0.026,0.004,0.018,0.022,0.022,0.012,0.008,0.032
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,4,1,male,1.162,1.795,0.601,1.548,2.149,2.149,1.007,1.332,1.131,1.850,1.081,2.135,2.576,0.022,0.013,0.048,0.002,0.012,0.002,0.014,0.015,0.013,0.015,0.003
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,4,2,female,1.199,1.93,0.63,1.661,2.29,2.29,1.004,1.412,1.138,1.910,1.15,2.281,2.639,0.004,0.028,0.023,0.039,0.001,0.012,0.011,0.01,0.008,0.001,0.006
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,4,2,male,1.127,1.77,0.611,1.543,2.154,2.152,0.976,1.311,1.105,1.910,1.05,2.205,2.526,0.021,0.03803438055720214,0.099,0.004,0.024,0.0187141162514828,0.023,0.022,0.01,0.025,0.033
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,4,3,female,1.157,1.843,0.654,1.527,2.182,2.181,1.0,1.339,1.145,1.886,1.091,2.181,2.336,0.029,0.006,0.011,0.001,0.012,0.021,0.033,0.032,0.012,0.003,0.008
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,4,3,male,1.117,1.718,0.554,1.513,2.067,2.065,0.942,1.253,1.076,1.848,0.972,2.192,2.733,0.013,0.007,0.056,0.034,0.011,0.001,0.011,0.011,0.008,0.027,0.004
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,5,1,female,1.143,1.826,0.615,1.585,2.201,2.2,0.997,1.346,1.135,1.924,1.096,2.206,2.577,0.008,0.002,0.148,0.01,0.023,0.032,0.009,0.007,0.004,0.003,0.008
